volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,accepted_name,thailand,distribution,ecology,family_url,genus_url,species_url,scraped_at
12,Orchidaceae,84. Thecopus,Thecopus,84.0,Thecopus maingayi (Hook.f.) Seidenf.,This is currently accepted.,"PENINSULAR: Krabi (Khao Phanom Bencha), Phatthalung (Tamot), Songkhla (Sadao), Yala (Betong), Narathiwat (Waeng).","Vietnam, Peninsular Malaysia, Borneo.","In tropical rain forests and lower montane forests, 50–900 m alt. Flowering: recorded in April.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Thecopus&tdcode=05979,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05980,2025-10-20T19:59:25.108337+00:00
12,Orchidaceae,43. Bromheadia,Bromheadia,43.0,Bromheadia finlaysoniana (Lindl.) Miq.,This is currently accepted.,"EASTERN: Surin (Sangkha); SOUTH-EASTERN: Trat (Khlong Khut); PENINSULAR: Chumphon, Surat Thani, Ranong (Muang Lan), Phangnga (Ko Phra Thong), Krabi, Trang (Bang Sak), Satun (Tarutao Island), Songkhla (Ton Nga Chang Falls), Pattani, Yala (Betong), Narathiwat.","Myanmar, Indochina, Peninsular Malaysia, Singapore (syntypes), Sumatra, Borneo, Australia.","On rocky or sandy heath soils with decaying organic matter, usually found in mossy places or growing on rocks; also found in rubber plantations, coastal heaths and lowland evergreen forests; from sea level to 700 m alt. Flowering and fruiting all year round, more flowers in the rainy season.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bromheadia&tdcode=05727,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05731,2025-10-20T19:59:31.968533+00:00
12,Orchidaceae,43. Bromheadia,Bromheadia,43.0,Bromheadia alticola Ridl.,This is currently accepted.,"PENINSULAR: Phangnga (Ko Yao), Krabi, Nakhon Si Thammarat (Khao Nan), Trang (Kantang), Yala (Betong), Narathiwat.","Peninsular Malaysia (syntypes), Singapore, Borneo, the Philippines.","Epiphytic on tree trunks and branches, sometimes growing on moist rocks and also found in lowland evergreen forests; 300‒700 m alt. Flowering and fruiting all year round, more flowers in the rainy season.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bromheadia&tdcode=05727,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05728,2025-10-20T19:59:34.725374+00:00
12,Orchidaceae,43. Bromheadia,Bromheadia,43.0,Bromheadia brevifolia Ridl.,This is currently accepted.,PENINSULAR: Yala (Betong).,"Peninsular Malaysia (type), Borneo.","Epiphytic on tree trunks and branches in dipterocarp and lower montane forests; ca 600‒1,000 m alt. Flowering and fruiting: March‒June.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bromheadia&tdcode=05727,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05730,2025-10-20T19:59:37.342832+00:00
12,Orchidaceae,43. Bromheadia,Bromheadia,43.0,Bromheadia aporoides Rchb.f.,This is currently accepted.,"NORTHERN: Chiang Mai; NORTH-EASTERN: Phetchabun (Nam Nao), Sakon Nakhon (Phu Phan); EASTERN: Chaiyaphum; SOUTH-WESTERN: Kanchanaburi, Phetchaburi.","Laos, Myanmar (type), Peninsular Malaysia, Singapore, Borneo.","Epiphytic in dipterocarp and lower montane forests; ca 300–1,500 m alt. Flowering and fruiting: March‒June.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bromheadia&tdcode=05727,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05729,2025-10-20T19:59:40.269039+00:00
12,Orchidaceae,43. Bromheadia,Bromheadia,43.0,Bromheadia truncata Seidenf.,This is currently accepted.,"NORTHERN: Chiang Mai (Doi Suthep – type: Seidenfaden & Smitinand GT 2691, holotype -C); PENINSULAR: Yala (Betong), Narathiwat (Waeng).","Peninsular Malaysia, Sumatra.","Epiphytic on tree trunks and branches, often occurring near the ground in both exposed and shady areas; 650–700 m alt. Flowering and fruiting all year round, more flowers in the rainy season.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bromheadia&tdcode=05727,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05732,2025-10-20T19:59:43.017618+00:00
12,Orchidaceae,43. Bromheadia,Bromheadia,43.0,Bromheadia alticola Ridl.,This is currently accepted.,"PENINSULAR: Phangnga (Ko Yao), Krabi, Nakhon Si Thammarat (Khao Nan), Trang (Kantang), Yala (Betong), Narathiwat.","Peninsular Malaysia (syntypes), Singapore, Borneo, the Philippines.","Epiphytic on tree trunks and branches, sometimes growing on moist rocks and also found in lowland evergreen forests; 300‒700 m alt. Flowering and fruiting all year round, more flowers in the rainy season.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bromheadia&tdcode=05727,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05728,2025-10-20T19:59:45.581808+00:00
12,Orchidaceae,43. Bromheadia,Bromheadia,43.0,Bromheadia aporoides Rchb.f.,This is currently accepted.,"NORTHERN: Chiang Mai; NORTH-EASTERN: Phetchabun (Nam Nao), Sakon Nakhon (Phu Phan); EASTERN: Chaiyaphum; SOUTH-WESTERN: Kanchanaburi, Phetchaburi.","Laos, Myanmar (type), Peninsular Malaysia, Singapore, Borneo.","Epiphytic in dipterocarp and lower montane forests; ca 300–1,500 m alt. Flowering and fruiting: March‒June.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bromheadia&tdcode=05727,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05729,2025-10-20T19:59:48.301293+00:00
12,Orchidaceae,43. Bromheadia,Bromheadia,43.0,Bromheadia brevifolia Ridl.,This is currently accepted.,PENINSULAR: Yala (Betong).,"Peninsular Malaysia (type), Borneo.","Epiphytic on tree trunks and branches in dipterocarp and lower montane forests; ca 600‒1,000 m alt. Flowering and fruiting: March‒June.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bromheadia&tdcode=05727,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05730,2025-10-20T19:59:50.998118+00:00
12,Orchidaceae,43. Bromheadia,Bromheadia,43.0,Bromheadia finlaysoniana (Lindl.) Miq.,This is currently accepted.,"EASTERN: Surin (Sangkha); SOUTH-EASTERN: Trat (Khlong Khut); PENINSULAR: Chumphon, Surat Thani, Ranong (Muang Lan), Phangnga (Ko Phra Thong), Krabi, Trang (Bang Sak), Satun (Tarutao Island), Songkhla (Ton Nga Chang Falls), Pattani, Yala (Betong), Narathiwat.","Myanmar, Indochina, Peninsular Malaysia, Singapore (syntypes), Sumatra, Borneo, Australia.","On rocky or sandy heath soils with decaying organic matter, usually found in mossy places or growing on rocks; also found in rubber plantations, coastal heaths and lowland evergreen forests; from sea level to 700 m alt. Flowering and fruiting all year round, more flowers in the rainy season.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bromheadia&tdcode=05727,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05731,2025-10-20T19:59:53.887187+00:00
12,Orchidaceae,43. Bromheadia,Bromheadia,43.0,Bromheadia truncata Seidenf.,This is currently accepted.,"NORTHERN: Chiang Mai (Doi Suthep – type: Seidenfaden & Smitinand GT 2691, holotype -C); PENINSULAR: Yala (Betong), Narathiwat (Waeng).","Peninsular Malaysia, Sumatra.","Epiphytic on tree trunks and branches, often occurring near the ground in both exposed and shady areas; 650–700 m alt. Flowering and fruiting all year round, more flowers in the rainy season.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bromheadia&tdcode=05727,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05732,2025-10-20T19:59:56.639380+00:00
12,Orchidaceae,59. Dipodium,Dipodium,59.0,Dipodium paludosum (Griff.) Rchb.f.,This is currently accepted.,"SOUTH-EASTERN: Prachin Buri, Trat; PENINSULAR: Chumphon (Bang Boet).","Vietnam, Cambodia, Peninsular Malaysia (type), Singapore, Sumatra, Borneo.",Freshwater swamps; 0–50 m alt. Flowering: recorded in April–June and August.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Dipodium&tdcode=05860,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05861,2025-10-20T20:00:03.529931+00:00
12,Orchidaceae,59. Dipodium,Dipodium,59.0,Dipodium speciosum P.O’Byrne,This is currently accepted.,PENINSULAR: Yala (Ban Chantharat – Wai 692 -PSU).,Peninsular Malaysia (type).,"Mossy places in partial or deep shade in upper tropical rain forests where it climbs on tree trunks and rocks or grows in decaying leaf litter; 600–1,000 m alt. Flowering: March–April.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Dipodium&tdcode=05860,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05862,2025-10-20T20:00:06.196550+00:00
12,Orchidaceae,59. Dipodium,Dipodium,59.0,Dipodium paludosum (Griff.) Rchb.f.,This is currently accepted.,"SOUTH-EASTERN: Prachin Buri, Trat; PENINSULAR: Chumphon (Bang Boet).","Vietnam, Cambodia, Peninsular Malaysia (type), Singapore, Sumatra, Borneo.",Freshwater swamps; 0–50 m alt. Flowering: recorded in April–June and August.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Dipodium&tdcode=05860,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05861,2025-10-20T20:00:09.031455+00:00
12,Orchidaceae,59. Dipodium,Dipodium,59.0,Dipodium speciosum P.O’Byrne,This is currently accepted.,PENINSULAR: Yala (Ban Chantharat – Wai 692 -PSU).,Peninsular Malaysia (type).,"Mossy places in partial or deep shade in upper tropical rain forests where it climbs on tree trunks and rocks or grows in decaying leaf litter; 600–1,000 m alt. Flowering: March–April.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Dipodium&tdcode=05860,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05862,2025-10-20T20:00:11.799677+00:00
12,Orchidaceae,66. Glomera,Glomera,66.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Glomera&tdcode=05896,,2025-10-20T20:00:16.174830+00:00
12,Orchidaceae,41. Arundina,Arundina,41.0,Arundina graminifolia (D.Don) Hochr.,This is currently accepted.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Arundina&tdcode=05721,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05722,2025-10-20T20:00:23.221070+00:00
12,Orchidaceae,58. Dilochia,Dilochia,58.0,Dilochia wallichii Lindl.,This is currently accepted.,"PENINSULAR: Nakhon Si Thammarat (Khao Khun), Pattani (Khao Kalakhiri), Yala (Bala-Hala), Narathiwat (Sukhirin).","Peninsular Malaysia, Singapore (type), Sumatra, Java, Borneo, New Guinea.","Tropical evergreen forests, hill evergreen forests; 900–1,200 m alt. Flowering: February–April.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Dilochia&tdcode=05858,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05859,2025-10-20T20:00:30.243439+00:00
12,Orchidaceae,38. Acriopsis,Acriopsis,38.0,Acriopsis indica Wight,This is currently accepted.,"NORTHERN: Chiang Mai, Tak; EASTERN: Nakhon Ratchasima, Ubon Ratchathani; SOUTH-EASTERN: Chanthaburi, Trat; PENINSULAR: Chumphon, Ranong, Surat Thani, Phangnga, Phuket, Krabi, Trang, Satun, Yala, Narathiwat.","India, Myanmar (type), Indochina, Peninsular Malaysia, Java, Borneo, Timor, the Philippines.","In deciduous forests, dry evergreen forests and rubber plantations; 0–1,150 m alt. Flowering: mainly January–March, but also reported in July.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Acriopsis&tdcode=05710,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05711,2025-10-20T20:00:37.218826+00:00
12,Orchidaceae,38. Acriopsis,Acriopsis,38.0,Acriopsis liliifolia (J.Koenig) Ormerod,This is currently accepted.,"NORTHERN: Chiang Mai; SOUTH-WESTERN: Phetchaburi; SOUTH-EASTERN: Rayong, Chanthaburi; PENINSULAR: Chumphon, Ranong, Phangnga, Nakhon Si Thammarat, Trang (Huai Yot), Satun (Tarutao), Yala, Narathiwat, (?Phuket – type: Koenig s.n., not located).","Sikkim, Andaman Islands, Myanmar, Indochina, Malaysia, Indonesia, the Philippines, Papua New Guinea, Queensland, SW Pacific Islands.","In tropical rain forests, seasonal and hill evergreen forests, freshwater swamp forests, bamboo thickets, rubber plantations and orchards; 0–1,700 m alt. Flowering: mainly January–July, but also recorded in September and November.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Acriopsis&tdcode=05710,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05712,2025-10-20T20:00:39.991832+00:00
12,Orchidaceae,38. Acriopsis,Acriopsis,38.0,Acriopsis ridleyi Hook.f.,This is currently accepted.,"PENINSULAR: Songkhla (Chanan), Narathiwat (Tak Bai).","Singapore (type), Peninsular Malaysia, Borneo.","In Songkhla reported to grow on dipterocarps in coastal heath forests; habitat in Narathiwat unknown. Flowering: recorded in January, March and May.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Acriopsis&tdcode=05710,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05713,2025-10-20T20:00:42.571275+00:00
12,Orchidaceae,38. Acriopsis,Acriopsis,38.0,Acriopsis indica Wight,This is currently accepted.,"NORTHERN: Chiang Mai, Tak; EASTERN: Nakhon Ratchasima, Ubon Ratchathani; SOUTH-EASTERN: Chanthaburi, Trat; PENINSULAR: Chumphon, Ranong, Surat Thani, Phangnga, Phuket, Krabi, Trang, Satun, Yala, Narathiwat.","India, Myanmar (type), Indochina, Peninsular Malaysia, Java, Borneo, Timor, the Philippines.","In deciduous forests, dry evergreen forests and rubber plantations; 0–1,150 m alt. Flowering: mainly January–March, but also reported in July.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Acriopsis&tdcode=05710,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05711,2025-10-20T20:00:45.361442+00:00
12,Orchidaceae,38. Acriopsis,Acriopsis,38.0,Acriopsis liliifolia (J.Koenig) Ormerod,This is currently accepted.,"NORTHERN: Chiang Mai; SOUTH-WESTERN: Phetchaburi; SOUTH-EASTERN: Rayong, Chanthaburi; PENINSULAR: Chumphon, Ranong, Phangnga, Nakhon Si Thammarat, Trang (Huai Yot), Satun (Tarutao), Yala, Narathiwat, (?Phuket – type: Koenig s.n., not located).","Sikkim, Andaman Islands, Myanmar, Indochina, Malaysia, Indonesia, the Philippines, Papua New Guinea, Queensland, SW Pacific Islands.","In tropical rain forests, seasonal and hill evergreen forests, freshwater swamp forests, bamboo thickets, rubber plantations and orchards; 0–1,700 m alt. Flowering: mainly January–July, but also recorded in September and November.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Acriopsis&tdcode=05710,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05712,2025-10-20T20:00:48.281408+00:00
12,Orchidaceae,38. Acriopsis,Acriopsis,38.0,Acriopsis ridleyi Hook.f.,This is currently accepted.,"PENINSULAR: Songkhla (Chanan), Narathiwat (Tak Bai).","Singapore (type), Peninsular Malaysia, Borneo.","In Songkhla reported to grow on dipterocarps in coastal heath forests; habitat in Narathiwat unknown. Flowering: recorded in January, March and May.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Acriopsis&tdcode=05710,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05713,2025-10-20T20:00:50.951572+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia longiscapa (Seidenf.) J.J.Wood & A.L.Lamb,This is currently accepted.,"Nakhon Phanom (Phu Langka – type: Suphachadiwong GT 9684, holotype -C).","Yunnan, Hainan, Vietnam.",No information available on habitat or altitudinal range. Flowering: March–April in cultivation.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05970,2025-10-20T20:00:57.804261+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia wrayana (Hook.f.) J.J.Sm.,This is currently accepted.,"NORTHERN: Phitsanulok (Nakhon Thai); NORTH-EASTERN: Phetchabun (Nam Nao), Loei (Phu Kradueng); EASTERN: Nakhon Ratchasima (Khao Yai).","NE India, Vietnam, Peninsular Malysia (type), Sumatra.","Seasonal evergreen forests and hill evergreen forests, 500–1,200 m alt. Flowering: February–April.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05976,2025-10-20T20:01:00.461475+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia crassa (H.Turner) J.J.Wood & A.L.Lamb,This is currently accepted.,PENINSULAR: Yala (Betong – Wai 1071 -PSU).,Peninsular Malaysia (type).,"In deep shade in lower tropical rain forests, ca 550 m alt. Flowering: April.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05967,2025-10-20T20:01:03.415529+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia speciosa Blume,This is currently accepted.,"NORTHERN: Chiang Mai (Doi Suthep); PENINSULAR: Nakhon Si Thammarat (Khao Luang), Satun (Tarutao), Yala (Betong), Narathiwat (Si Sakhon).","Peninsular Malaysia, Sumatra, Java (type), Borneo.","Tropical rain forests and hill evergreen forests, 550–1,300 m alt. Flowering: recorded in April–June, August and November.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05974,2025-10-20T20:01:06.282431+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia maingayi Hook.f.,This is currently accepted.,PENINSULAR: Yala (Betong).,"Peninsular Malaysia (type), Sumatra, Java, Borneo.","Shady places with humus-rich soil in hill evergreen forests, ca 1,000 m alt. Flowering: July–August.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05971,2025-10-20T20:01:09.021505+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia viridifusca (Hook.) Benth. ex Hook.f.,Ania viridifusca,"NORTHERN: Mae Hong Son (Doi Khun Huai Pong), Chiang Mai, Lamphun (Doi Khun Tan), Phitsanulok; NORTH-EASTERN: Loei.","NE India (type), Myanmar, Yunnan, Vietnam.","Seasonal evergreen forests and hill evergreen forests, 750–1,800 m alt. Flowering: January–March.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05975,2025-10-20T20:01:11.798015+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia angustifolia (Lindl.) Benth. & Hook.f.,Ania angustifolia,"NORTHERN: Chiang Mai, Lamphun (Doi Khun Tan), Phitsanulok (Phu Hin Rong Kla); NORTH-EASTERN: Phetchabun (Nam Nao), Loei, Udon Thani (Nong Saeng); EASTERN: Chaiyaphum (Ban Thung Kamang); SOUTH-EASTERN: Prachin Buri.","Myanmar (type), S China (Yunnan, Guizhou), Vietnam.","Seasonal evergreen forests, upper mixed deciduous forests, hill evergreen forests and pine forests, 300–1,300 m alt. Flowering: August–December.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05966,2025-10-20T20:01:14.599659+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia penangiana Hook.f.,Ania penangiana,"NORTHERN: Chiang Mai, Lamphun (Doi Khun Tan), Phitsanulok (Thung Salaeng Luang); NORTH-EASTERN: Phetchabun (Nam Nao), Loei (Phu Luang), Nakhon Phanom (Phu Langka); EASTERN: Nakhon Ratchasima (Khao Yai), Surin; SOUTH-WESTERN: Phetchaburi (Kaeng Krachan); CENTRAL: Nakhon Nayok (Khao Yai); SOUTH-EASTERN: Trat (Dan Chumphon); PENINSULAR: Ranong, Songkhla, Yala.","NE India, Vietnam, Hainan, Taiwan, Peninsular Malaysia (type).","Tropical rain forests, seasonal evergreen forests and hill evergreen forests, 0–1,500 m alt. Flowering: December–February.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05973,2025-10-20T20:01:17.319689+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia paucifolia (Breda) J.J.Sm.,This is currently accepted.,"PENINSULAR: Phuket (Khao Khat), Nakhon Si Thammarat (Khao Luang).","Vietnam, Peninsular Malaysia (type), Sumatra, Java, Borneo.","Upper tropical rain forests, 600–750 m alt. Flowering: May.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05972,2025-10-20T20:01:20.103677+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia angustifolia (Lindl.) Benth. & Hook.f.,Ania angustifolia,"NORTHERN: Chiang Mai, Lamphun (Doi Khun Tan), Phitsanulok (Phu Hin Rong Kla); NORTH-EASTERN: Phetchabun (Nam Nao), Loei, Udon Thani (Nong Saeng); EASTERN: Chaiyaphum (Ban Thung Kamang); SOUTH-EASTERN: Prachin Buri.","Myanmar (type), S China (Yunnan, Guizhou), Vietnam.","Seasonal evergreen forests, upper mixed deciduous forests, hill evergreen forests and pine forests, 300–1,300 m alt. Flowering: August–December.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05966,2025-10-20T20:01:22.919945+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia crassa (H.Turner) J.J.Wood & A.L.Lamb,This is currently accepted.,PENINSULAR: Yala (Betong – Wai 1071 -PSU).,Peninsular Malaysia (type).,"In deep shade in lower tropical rain forests, ca 550 m alt. Flowering: April.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05967,2025-10-20T20:01:25.556295+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia latifolia (Lindl.) Rchb.f.,This is currently accepted.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05968,2025-10-20T20:01:28.445595+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia longiscapa (Seidenf.) J.J.Wood & A.L.Lamb,This is currently accepted.,"Nakhon Phanom (Phu Langka – type: Suphachadiwong GT 9684, holotype -C).","Yunnan, Hainan, Vietnam.",No information available on habitat or altitudinal range. Flowering: March–April in cultivation.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05970,2025-10-20T20:01:30.988012+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia maingayi Hook.f.,This is currently accepted.,PENINSULAR: Yala (Betong).,"Peninsular Malaysia (type), Sumatra, Java, Borneo.","Shady places with humus-rich soil in hill evergreen forests, ca 1,000 m alt. Flowering: July–August.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05971,2025-10-20T20:01:34.020914+00:00
12,Orchidaceae,82. Tainia p.p.,Tainia p.p.,82.0,Tainia paucifolia (Breda) J.J.Sm.,This is currently accepted.,"PENINSULAR: Phuket (Khao Khat), Nakhon Si Thammarat (Khao Luang).","Vietnam, Peninsular Malaysia (type), Sumatra, Java, Borneo.","Upper tropical rain forests, 600–750 m alt. Flowering: May.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tainia&tdcode=05965,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05972,2025-10-20T20:01:36.706746+00:00
